Jahr;Schulgemeinde;daz
2000;Glattal;0.4773746432939258
2000;Letzi;0.5059591373439274
2000;Limmattal;0.7915291529152916
2000;Schwamendingen;0.48906828119744367
2000;Uto;0.4008304836345872
2000;Waidberg;0.3721048612878595
2000;Zürichberg;0.2552604346326319
2001;Glattal;0.5029792479967126
2001;Letzi;0.5265536723163842
2001;Limmattal;0.7945703890288274
2001;Schwamendingen;0.5175148711169861
2001;Uto;0.4198922097011269
2001;Waidberg;0.3742988271290158
2001;Zürichberg;0.2684865238424326
2002;Glattal;0.5205196947824293
2002;Letzi;0.5428004535147393
2002;Limmattal;0.7852865697177075
2002;Schwamendingen;0.5438311688311688
2002;Uto;0.4308666017526777
2002;Waidberg;0.38117705487956294
2002;Zürichberg;0.26846785225718195
2003;Glattal;0.5459536396909312
2003;Letzi;0.5623179965055329
2003;Limmattal;0.7993685419058554
2003;Schwamendingen;0.5797516714422158
2003;Uto;0.44554695062923527
2003;Waidberg;0.38264058679706603
2003;Zürichberg;0.2753623188405797
2004;Glattal;0.565341488277268
2004;Letzi;0.5833333333333334
2004;Limmattal;0.8094250148192057
2004;Schwamendingen;0.6204287515762925
2004;Uto;0.4548953572287707
2004;Waidberg;0.3896644624050943
2004;Zürichberg;0.27826675693974273
2005;Glattal;0.5806126561870214
2005;Letzi;0.6027438115120788
2005;Limmattal;0.8146551724137931
2005;Schwamendingen;0.6587150127226463
2005;Uto;0.46442307692307694
2005;Waidberg;0.3905398712233779
2005;Zürichberg;0.2714236940935473
2006;Glattal;0.5938308457711443
2006;Letzi;0.6203898050974512
2006;Limmattal;0.8164842240824212
2006;Schwamendingen;0.6925587467362925
2006;Uto;0.4714562167392356
2006;Waidberg;0.3878772761287104
2006;Zürichberg;0.27337362246711694
2007;Glattal;0.6049883990719258
2007;Letzi;0.6375858978189424
2007;Limmattal;0.8088679879072892
2007;Schwamendingen;0.7170418006430868
2007;Uto;0.4830859089802872
2007;Waidberg;0.38830584707646176
2007;Zürichberg;0.27571428571428575
2008;Glattal;0.6168134814247415
2008;Letzi;0.6343891402714932
2008;Limmattal;0.8065926673393878
2008;Schwamendingen;0.7259797724399495
2008;Uto;0.4835945151811949
2008;Waidberg;0.389873417721519
2008;Zürichberg;0.2778761061946903
2009;Glattal;0.6222517058377559
2009;Letzi;0.6365817091454273
2009;Limmattal;0.7961264016309888
2009;Schwamendingen;0.7304809494066209
2009;Uto;0.4741358176023535
2009;Waidberg;0.374248496993988
2009;Zürichberg;0.2529249827942189
2010;Glattal;0.632292058712834
2010;Letzi;0.638751094251532
2010;Limmattal;0.7762886597938145
2010;Schwamendingen;0.7423029556650247
2010;Uto;0.46825396825396826
2010;Waidberg;0.36711990111248455
2010;Zürichberg;0.2568775790921596
2011;Glattal;0.6322971948445792
2011;Letzi;0.62958843159065625
2011;Limmattal;0.7307434695244475
2011;Schwamendingen;0.7442807897210906
2011;Uto;0.4553680606505258
2011;Waidberg;0.36579628322747587
2011;Zürichberg;0.2509312563494751
2012;Glattal;0.6146350432064718
2012;Letzi;0.6232709519934906
2012;Limmattal;0.7050335570469799
2012;Schwamendingen;0.73296738779464
2012;Uto;0.4404646660212972
2012;Waidberg;0.35014904838339833
2012;Zürichberg;0.23844121532364598
2013;Glattal;0.6014349775784753
2013;Letzi;0.6089726572869657
2013;Limmattal;0.6722276741903828
2013;Schwamendingen;0.723369916074887
2013;Uto;0.41739130434782606
2013;Waidberg;0.335482436638506
2013;Zürichberg;0.23017902813299232
2014;Glattal;0.5837800449593636
2014;Letzi;0.5883415011606913
2014;Limmattal;0.6389675794774945
2014;Schwamendingen;0.7019672131147541
2014;Uto;0.39522184300341295
2014;Waidberg;0.31173567903883287
2014;Zürichberg;0.22858884486437062
2015;Glattal;0.5668609492089925
2015;Letzi;0.5651850012416191
2015;Limmattal;0.5940279542566709
2015;Schwamendingen;0.6780024509803921
2015;Uto;0.3746157224418094
2015;Waidberg;0.30447390223695114
2015;Zürichberg;0.22609472743521
2016;Glattal;0.5612872692853762
2016;Letzi;0.5591758505031145
2016;Limmattal;0.5923127463863338
2016;Schwamendingen;0.6663703703703704
2016;Uto;0.3681571249477643
2016;Waidberg;0.28582963262010497
2016;Zürichberg;0.237417943107221
2017;Glattal;0.5642934698309291
2017;Letzi;0.5425119671757466
2017;Limmattal;0.5675675675675675
2017;Schwamendingen;0.6584337349397591
2017;Uto;0.37288801571709235
2017;Waidberg;0.27824227104802646
2017;Zürichberg;0.23851495726495728
2018;Glattal;0.5612398435148962
2018;Letzi;0.5215138544717278
2018;Limmattal;0.5371823031063696
2018;Schwamendingen;0.646697837521917
2018;Uto;0.3734200743494424
2018;Waidberg;0.28032695522942597
2018;Zürichberg;0.25672559569561876
