Jahr;Schulgemeinde;Schulart;students;per;daz;acs
2000;Glattal;Kindergarten;857;23.7;0.5670945157526255;17
2000;Glattal;Primarschule;2683;74.2;0.44129705553484905;19
2000;Glattal;Übergangsklassen;77;2.1;0.5974025974025974;10
2000;Letzi;Kindergarten;620;23.7;0.5645161290322581;16
2000;Letzi;Primarschule;1954;74.7;0.481064483111566;20
2000;Letzi;Übergangsklassen;43;1.6;0.7209302325581395;11
2000;Limmattal;Kindergarten;614;24.7;0.8013029315960912;15
2000;Limmattal;Primarschule;1801;72.5;0.7590227651304831;17
2000;Limmattal;Übergangsklassen;68;2.7;0.9264705882352942;8
2000;Schwamendingen;Kindergarten;583;26.9;0.6003430531732419;18
2000;Schwamendingen;Primarschule;1534;70.8;0.4576271186440678;19
2000;Schwamendingen;Übergangsklassen;50;2.3;0.68;9
2000;Uto;Kindergarten;766;24.6;0.4308093994778068;17
2000;Uto;Primarschule;2307;74.2;0.37624620719549196;21
2000;Uto;Übergangsklassen;37;1.2;0.7567567567567568;10
2000;Waidberg;Kindergarten;745;24.3;0.3731543624161074;18
2000;Waidberg;Primarschule;2276;74.3;0.327768014059754;21
2000;Waidberg;Übergangsklassen;42;1.4;0.6904761904761905;9
2000;Zürichberg;Kindergarten;532;22.9;0.24436090225563908;17
2000;Zürichberg;Primarschule;1760;75.7;0.23863636363636365;20
2000;Zürichberg;Übergangsklassen;33;1.4;0.5151515151515151;8
2001;Glattal;Kindergarten;853;23.7;0.5568581477139508;16
2001;Glattal;Primarschule;2686;74.5;0.46835443037974683;19
2001;Glattal;Übergangsklassen;66;1.8;0.5606060606060606;10
2001;Letzi;Kindergarten;656;25.3;0.5929878048780488;17
2001;Letzi;Primarschule;1896;73.1;0.4936708860759494;20
2001;Letzi;Übergangsklassen;42;1.6;0.8095238095238095;12
2001;Limmattal;Kindergarten;638;25.5;0.8009404388714734;15
2001;Limmattal;Primarschule;1787;71.5;0.7733631785114717;17
2001;Limmattal;Übergangsklassen;73;2.9;0.8767123287671232;11
2001;Schwamendingen;Kindergarten;584;26.3;0.6078767123287672;17
2001;Schwamendingen;Primarschule;1582;71.4;0.49241466498103664;19
2001;Schwamendingen;Übergangsklassen;51;2.3;0.6666666666666666;10
2001;Uto;Kindergarten;769;24.8;0.4577373211963589;18
2001;Uto;Primarschule;2294;73.9;0.3884045335658239;21
2001;Uto;Übergangsklassen;42;1.4;0.6190476190476191;11
2001;Waidberg;Kindergarten;758;24.7;0.3812664907651715;17
2001;Waidberg;Primarschule;2270;73.8;0.333920704845815;20
2001;Waidberg;Übergangsklassen;46;1.5;0.5434782608695652;10
2001;Zürichberg;Kindergarten;529;22.9;0.27032136105860116;17
2001;Zürichberg;Primarschule;1763;76.4;0.23596142938173567;21
2001;Zürichberg;Übergangsklassen;17;0.7;0.6470588235294118;9
2002;Glattal;Kindergarten;839;23.7;0.5721096543504172;15
2002;Glattal;Primarschule;2634;74.5;0.49392558845861806;19
2002;Glattal;Übergangsklassen;61;1.7;0.6885245901639344;9
2002;Letzi;Kindergarten;658;25.4;0.6155015197568389;17
2002;Letzi;Primarschule;1899;73.3;0.507635597682991;20
2002;Letzi;Übergangsklassen;34;1.3;0.8529411764705882;8
2002;Limmattal;Kindergarten;645;26.3;0.7612403100775194;15
2002;Limmattal;Primarschule;1732;70.7;0.7765588914549654;17
2002;Limmattal;Übergangsklassen;73;3;0.8767123287671232;10
2002;Schwamendingen;Kindergarten;567;25.1;0.6137566137566137;17
2002;Schwamendingen;Primarschule;1643;72.7;0.5319537431527693;19
2002;Schwamendingen;Übergangsklassen;51;2.3;0.7450980392156863;11
2002;Uto;Kindergarten;811;26;0.44636251541307026;18
2002;Uto;Primarschule;2262;72.6;0.40406719717064543;21
2002;Uto;Übergangsklassen;41;1.3;0.6341463414634146;10
2002;Waidberg;Kindergarten;774;24.6;0.4082687338501292;17
