Jahr;Schulgemeinde;Schulart;students;per;esd;acs
2000;Glattal;Kindergarten;857;23.7;0.4329054842473745;17
2000;Glattal;Primarschule;2683;74.2;0.558702944465151;19
2000;Glattal;Übergangsklassen;77;2.1;0.4025974025974026;10
2000;Letzi;Kindergarten;620;23.7;0.4354838709677419;16
2000;Letzi;Primarschule;1954;74.7;0.518935516888434;20
2000;Letzi;Übergangsklassen;43;1.6;0.2790697674418605;11
2000;Limmattal;Kindergarten;614;24.7;0.19869706840390877;15
2000;Limmattal;Primarschule;1801;72.5;0.24097723486951694;17
2000;Limmattal;Übergangsklassen;68;2.7;0.07352941176470584;8
2000;Schwamendingen;Kindergarten;583;26.9;0.3996569468267581;18
2000;Schwamendingen;Primarschule;1534;70.8;0.5423728813559322;19
2000;Schwamendingen;Übergangsklassen;50;2.3;0.31999999999999995;9
2000;Uto;Kindergarten;766;24.6;0.5691906005221932;17
2000;Uto;Primarschule;2307;74.2;0.623753792804508;21
2000;Uto;Übergangsklassen;37;1.2;0.2432432432432432;10
2000;Waidberg;Kindergarten;745;24.3;0.6268456375838927;18
2000;Waidberg;Primarschule;2276;74.3;0.672231985940246;21
2000;Waidberg;Übergangsklassen;42;1.4;0.30952380952380953;9
2000;Zürichberg;Kindergarten;532;22.9;0.7556390977443609;17
2000;Zürichberg;Primarschule;1760;75.7;0.7613636363636364;20
2000;Zürichberg;Übergangsklassen;33;1.4;0.48484848484848486;8
2001;Glattal;Kindergarten;853;23.7;0.4431418522860492;16
2001;Glattal;Primarschule;2686;74.5;0.5316455696202531;19
2001;Glattal;Übergangsklassen;66;1.8;0.43939393939393945;10
2001;Letzi;Kindergarten;656;25.3;0.4070121951219512;17
2001;Letzi;Primarschule;1896;73.1;0.5063291139240507;20
2001;Letzi;Übergangsklassen;42;1.6;0.19047619047619047;12
2001;Limmattal;Kindergarten;638;25.5;0.19905956112852663;15
2001;Limmattal;Primarschule;1787;71.5;0.22663682148852826;17
2001;Limmattal;Übergangsklassen;73;2.9;0.12328767123287676;11
2001;Schwamendingen;Kindergarten;584;26.3;0.39212328767123283;17
2001;Schwamendingen;Primarschule;1582;71.4;0.5075853350189634;19
2001;Schwamendingen;Übergangsklassen;51;2.3;0.33333333333333337;10
2001;Uto;Kindergarten;769;24.8;0.5422626788036411;18
2001;Uto;Primarschule;2294;73.9;0.6115954664341761;21
2001;Uto;Übergangsklassen;42;1.4;0.38095238095238093;11
2001;Waidberg;Kindergarten;758;24.7;0.6187335092348285;17
2001;Waidberg;Primarschule;2270;73.8;0.666079295154185;20
2001;Waidberg;Übergangsklassen;46;1.5;0.4565217391304348;10
2001;Zürichberg;Kindergarten;529;22.9;0.7296786389413988;17
2001;Zürichberg;Primarschule;1763;76.4;0.7640385706182643;21
2001;Zürichberg;Übergangsklassen;17;0.7;0.3529411764705882;9
2002;Glattal;Kindergarten;839;23.7;0.42789034564958284;15
2002;Glattal;Primarschule;2634;74.5;0.506074411541382;19
2002;Glattal;Übergangsklassen;61;1.7;0.3114754098360656;9
2002;Letzi;Kindergarten;658;25.4;0.38449848024316113;17
2002;Letzi;Primarschule;1899;73.3;0.49236440231700895;20
2002;Letzi;Übergangsklassen;34;1.3;0.1470588235294118;8
2002;Limmattal;Kindergarten;645;26.3;0.23875968992248064;15
2002;Limmattal;Primarschule;1732;70.7;0.22344110854503463;17
2002;Limmattal;Übergangsklassen;73;3;0.12328767123287676;10
2002;Schwamendingen;Kindergarten;567;25.1;0.3862433862433863;17
2002;Schwamendingen;Primarschule;1643;72.7;0.46804625684723067;19
2002;Schwamendingen;Übergangsklassen;51;2.3;0.2549019607843137;11
2002;Uto;Kindergarten;811;26;0.5536374845869297;18
2002;Uto;Primarschule;2262;72.6;0.5959328028293546;21
2002;Uto;Übergangsklassen;41;1.3;0.36585365853658536;10
2002;Waidberg;Kindergarten;774;24.6;0.5917312661498708;17
2002;Waidberg;Primarschule;2323;73.7;0.6629358588032717;20
2002;Waidberg;Übergangsklassen;53;1.7;0.339622641509434;11
2002;Zürichberg;Kindergarten;531;22.7;0.7024482109227872;16
2002;Zürichberg;Primarschule;1790;76.5;0.770949720670391;21
2002;Zürichberg;Übergangsklassen;19;0.8;0.42105263157894735;10
2003;Glattal;Kindergarten;855;24.2;0.40701754385964917;16
2003;Glattal;Primarschule;2608;73.9;0.4812116564417178;19
2003;Glattal;Übergangsklassen;65;1.8;0.18461538461538463;9
2003;Letzi;Kindergarten;625;24.9;0.376;16
2003;Letzi;Primarschule;1839;73.3;0.47090810222947255;19
2003;Letzi;Übergangsklassen;44;1.8;0.2272727272727273;8
2003;Limmattal;Kindergarten;660;26.9;0.21060606060606057;15
2003;Limmattal;Primarschule;1733;70.6;0.21407963069821123;17
2003;Limmattal;Übergangsklassen;60;2.4;0.1333333333333333;10
2003;Schwamendingen;Kindergarten;582;25.4;0.352233676975945;17
2003;Schwamendingen;Primarschule;1651;72.2;0.43488794669897035;18
2003;Schwamendingen;Übergangsklassen;55;2.4;0.32727272727272727;11
2003;Uto;Kindergarten;782;25;0.5358056265984654;17
2003;Uto;Primarschule;2299;73.6;0.5832970856894302;21
2003;Uto;Übergangsklassen;42;1.3;0.2142857142857143;11
2003;Waidberg;Kindergarten;765;24;0.5882352941176471;17
2003;Waidberg;Primarschule;2373;74.3;0.6536030341340076;20
2003;Waidberg;Übergangsklassen;55;1.7;0.34545454545454546;11
2003;Zürichberg;Kindergarten;536;23;0.7052238805970149;16
2003;Zürichberg;Primarschule;1779;76.4;0.7582911748173131;21
2003;Zürichberg;Übergangsklassen;14;0.6;0.2142857142857143;7
