Jahr;Schulgemeinde;Bildungsart_2;students;per;daz;acs
2000;Glattal;Sekundarstufe A;510;50.2;0.24313725490196078;19
2000;Glattal;Sekundarstufe B;416;41;0.5168269230769231;20
2000;Glattal;Sekundarstufe C;89;8.8;0.7640449438202247;10
2000;Letzi;Sekundarstufe A;387;51.1;0.3049095607235142;18
2000;Letzi;Sekundarstufe B;331;43.7;0.5800604229607251;19
2000;Letzi;Sekundarstufe C;40;5.3;0.95;11
2000;Limmattal;Sekundarstufe A;334;40.6;0.688622754491018;18
2000;Limmattal;Sekundarstufe B;411;50;0.8613138686131386;17
2000;Limmattal;Sekundarstufe C;77;9.4;0.935064935064935;11
2000;Schwamendingen;Sekundarstufe A;253;40.7;0.22529644268774704;18
2000;Schwamendingen;Sekundarstufe B;319;51.3;0.45141065830721006;18
2000;Schwamendingen;Sekundarstufe C;50;8;0.78;10
2000;Uto;Sekundarstufe A;450;53.3;0.20666666666666667;18
2000;Uto;Sekundarstufe B;328;38.8;0.5457317073170732;19
2000;Uto;Sekundarstufe C;67;7.9;0.7761194029850746;12
2000;Waidberg;Sekundarstufe A;442;60.1;0.2692307692307692;18
2000;Waidberg;Sekundarstufe B;256;34.8;0.6328125;18
2000;Waidberg;Sekundarstufe C;38;5.2;0.868421052631579;13
2000;Zürichberg;Sekundarstufe A;393;79.7;0.18575063613231552;19
2000;Zürichberg;Sekundarstufe B;86;17.4;0.5;18
2000;Zürichberg;Sekundarstufe C;14;2.8;0.9285714285714286;11
2001;Glattal;Sekundarstufe A;488;47.7;0.3135245901639344;19
2001;Glattal;Sekundarstufe B;420;41.1;0.5738095238095238;19
2001;Glattal;Sekundarstufe C;114;11.2;0.8070175438596491;11
2001;Letzi;Sekundarstufe A;398;49.9;0.3417085427135678;18
2001;Letzi;Sekundarstufe B;351;44;0.5954415954415955;20
2001;Letzi;Sekundarstufe C;48;6;0.875;12
2001;Limmattal;Sekundarstufe A;329;40.6;0.6808510638297872;18
2001;Limmattal;Sekundarstufe B;443;54.6;0.8758465011286681;16
2001;Limmattal;Sekundarstufe C;39;4.8;0.9230769230769231;10
2001;Schwamendingen;Sekundarstufe A;279;43.7;0.27598566308243727;19
2001;Schwamendingen;Sekundarstufe B;298;46.6;0.5100671140939598;18
2001;Schwamendingen;Sekundarstufe C;62;9.7;0.7258064516129032;11
2001;Uto;Sekundarstufe A;450;53.6;0.26;19
2001;Uto;Sekundarstufe B;325;38.7;0.5446153846153846;18
2001;Uto;Sekundarstufe C;65;7.7;0.8;13
2001;Waidberg;Sekundarstufe A;417;60;0.29256594724220625;18
2001;Waidberg;Sekundarstufe B;245;35.3;0.5714285714285714;18
2001;Waidberg;Sekundarstufe C;33;4.7;0.8181818181818182;10
2001;Zürichberg;Sekundarstufe A;389;83.5;0.2647814910025707;19
2001;Zürichberg;Sekundarstufe B;70;15;0.4714285714285714;16
2001;Zürichberg;Sekundarstufe C;7;1.5;1;4
2002;Glattal;Sekundarstufe A;537;49.8;0.31471135940409684;19
2002;Glattal;Sekundarstufe B;435;40.3;0.6068965517241379;18
2002;Glattal;Sekundarstufe C;107;9.9;0.794392523364486;10
2002;Letzi;Sekundarstufe A;374;47.9;0.36363636363636365;19
2002;Letzi;Sekundarstufe B;341;43.7;0.5630498533724341;19
2002;Letzi;Sekundarstufe C;66;8.5;0.8939393939393939;11
2002;Limmattal;Sekundarstufe A;343;42.9;0.6705539358600583;18
2002;Limmattal;Sekundarstufe B;456;57.1;0.8640350877192983;15
2002;Schwamendingen;Sekundarstufe A;281;43.5;0.302491103202847;19
2002;Schwamendingen;Sekundarstufe B;310;48;0.4935483870967742;18
2002;Schwamendingen;Sekundarstufe C;55;8.5;0.7090909090909091;9
2002;Uto;Sekundarstufe A;441;50.9;0.29931972789115646;19
2002;Uto;Sekundarstufe B;345;39.8;0.5304347826086957;19
2002;Uto;Sekundarstufe C;80;9.2;0.7625;14
2002;Waidberg;Sekundarstufe A;442;60.1;0.2873303167420814;19
2002;Waidberg;Sekundarstufe B;262;35.6;0.5534351145038168;19
2002;Waidberg;Sekundarstufe C;31;4.2;0.9032258064516129;9
2002;Zürichberg;Sekundarstufe A;376;79;0.24468085106382978;18
2002;Zürichberg;Sekundarstufe B;91;19.1;0.5164835164835165;16
2002;Zürichberg;Sekundarstufe C;9;1.9;0.8888888888888888;3
2003;Glattal;Sekundarstufe A;548;47.9;0.35036496350364965;18
2003;Glattal;Sekundarstufe B;474;41.4;0.5949367088607594;18
2003;Glattal;Sekundarstufe C;122;10.7;0.7622950819672131;10
2003;Letzi;Sekundarstufe A;355;46.2;0.38028169014084506;19
2003;Letzi;Sekundarstufe B;354;46.1;0.5903954802259888;20
2003;Letzi;Sekundarstufe C;59;7.7;0.864406779661017;13
2003;Limmattal;Sekundarstufe A;319;41.9;0.7053291536050157;18
2003;Limmattal;Sekundarstufe B;442;58.1;0.8506787330316742;15
2003;Schwamendingen;Sekundarstufe A;295;43;0.3559322033898305;20
2003;Schwamendingen;Sekundarstufe B;319;46.5;0.554858934169279;19
2003;Schwamendingen;Sekundarstufe C;72;10.5;0.7638888888888888;12
2003;Uto;Sekundarstufe A;448;51.8;0.28794642857142855;19
2003;Uto;Sekundarstufe B;317;36.6;0.5457413249211357;19
2003;Uto;Sekundarstufe C;100;11.6;0.8;13
2003;Waidberg;Sekundarstufe A;473;62.5;0.23890063424947147;20
2003;Waidberg;Sekundarstufe B;243;32.1;0.5720164609053497;17
2003;Waidberg;Sekundarstufe C;41;5.4;0.8536585365853658;13
2003;Zürichberg;Sekundarstufe A;380;83.2;0.22631578947368422;19
2003;Zürichberg;Sekundarstufe B;72;15.8;0.5833333333333334;12
2003;Zürichberg;Sekundarstufe C;5;1.1;1;3
2004;Glattal;Sekundarstufe A;587;49.7;0.3679727427597956;19
2004;Glattal;Sekundarstufe B;461;39.1;0.5921908893709328;18
2004;Glattal;Sekundarstufe C;132;11.2;0.8257575757575758;11
2004;Letzi;Sekundarstufe A;351;46.4;0.4045584045584046;20
2004;Letzi;Sekundarstufe B;347;45.9;0.590778097982709;20
2004;Letzi;Sekundarstufe C;58;7.7;0.896551724137931;15
2004;Limmattal;Sekundarstufe A;309;41.1;0.7022653721682848;18
2004;Limmattal;Sekundarstufe B;442;58.9;0.8552036199095022;15
2004;Schwamendingen;Sekundarstufe A;276;40.3;0.42391304347826086;19
2004;Schwamendingen;Sekundarstufe B;331;48.3;0.5981873111782477;19
2004;Schwamendingen;Sekundarstufe C;78;11.4;0.7692307692307693;13
2004;Uto;Sekundarstufe A;461;52.3;0.3036876355748373;20
2004;Uto;Sekundarstufe B;319;36.2;0.554858934169279;19
2004;Uto;Sekundarstufe C;101;11.5;0.8217821782178217;11
2004;Waidberg;Sekundarstufe A;467;61.4;0.2676659528907923;20
2004;Waidberg;Sekundarstufe B;253;33.2;0.5533596837944664;19
2004;Waidberg;Sekundarstufe C;41;5.4;0.8780487804878049;11
2004;Zürichberg;Sekundarstufe A;414;80.1;0.1859903381642512;21
2004;Zürichberg;Sekundarstufe B;93;18;0.5483870967741935;16
2004;Zürichberg;Sekundarstufe C;10;1.9;0.7;3
2005;Glattal;Sekundarstufe A;579;49.7;0.3955094991364421;19
2005;Glattal;Sekundarstufe B;451;38.7;0.6031042128603105;18
2005;Glattal;Sekundarstufe C;134;11.5;0.8134328358208955;11
2005;Letzi;Sekundarstufe A;331;45.3;0.3987915407854985;19
2005;Letzi;Sekundarstufe B;339;46.4;0.6548672566371682;19
2005;Letzi;Sekundarstufe C;60;8.2;0.9;14
2005;Limmattal;Sekundarstufe A;302;42.4;0.7052980132450332;19
2005;Limmattal;Sekundarstufe B;411;57.6;0.8710462287104623;16
2005;Schwamendingen;Sekundarstufe A;269;39.9;0.4646840148698885;18
2005;Schwamendingen;Sekundarstufe B;326;48.3;0.6349693251533742;18
2005;Schwamendingen;Sekundarstufe C;80;11.9;0.825;13
2005;Uto;Sekundarstufe A;478;55;0.3179916317991632;20
2005;Uto;Sekundarstufe B;291;33.5;0.563573883161512;18
2005;Uto;Sekundarstufe C;100;11.5;0.81;11
2005;Waidberg;Sekundarstufe A;491;62.3;0.29327902240325865;21
2005;Waidberg;Sekundarstufe B;256;32.5;0.515625;19
2005;Waidberg;Sekundarstufe C;41;5.2;0.8292682926829268;11
2005;Zürichberg;Sekundarstufe A;377;76.6;0.19363395225464192;19
2005;Zürichberg;Sekundarstufe B;102;20.7;0.4803921568627451;18
2005;Zürichberg;Sekundarstufe C;13;2.6;0.6923076923076923;4
2006;Glattal;Sekundarstufe A;553;46.8;0.4014466546112116;19
2006;Glattal;Sekundarstufe B;479;40.5;0.6012526096033403;18
2006;Glattal;Sekundarstufe C;150;12.7;0.8133333333333334;13
2006;Letzi;Sekundarstufe A;351;49.2;0.42165242165242167;20
2006;Letzi;Sekundarstufe B;316;44.3;0.7025316455696202;19
2006;Letzi;Sekundarstufe C;47;6.6;0.9361702127659575;12
2006;Limmattal;Sekundarstufe A;307;44.2;0.739413680781759;19
2006;Limmattal;Sekundarstufe B;387;55.8;0.8682170542635659;16
2006;Schwamendingen;Sekundarstufe A;276;39.7;0.5072463768115942;19
2006;Schwamendingen;Sekundarstufe B;343;49.3;0.6676384839650146;19
2006;Schwamendingen;Sekundarstufe C;77;11.1;0.8441558441558441;11
2006;Uto;Sekundarstufe A;438;50.8;0.3584474885844749;19
2006;Uto;Sekundarstufe B;324;37.6;0.5740740740740741;19
2006;Uto;Sekundarstufe C;100;11.6;0.79;12
2006;Waidberg;Sekundarstufe A;464;61.6;0.3232758620689655;21
2006;Waidberg;Sekundarstufe B;255;33.9;0.5764705882352941;20
2006;Waidberg;Sekundarstufe C;34;4.5;0.8529411764705882;11
2006;Zürichberg;Sekundarstufe A;347;76.8;0.2507204610951009;18
2006;Zürichberg;Sekundarstufe B;101;22.3;0.5148514851485149;18
2006;Zürichberg;Sekundarstufe C;4;0.9;1;2
2007;Glattal;Sekundarstufe A;594;49.8;0.43265993265993263;20
2007;Glattal;Sekundarstufe B;474;39.8;0.6624472573839663;19
2007;Glattal;Sekundarstufe C;124;10.4;0.7661290322580645;11
