Jahr;Schulgemeinde;Bildungsart_2;students;per;esd;acs
2000;Glattal;Sekundarstufe A;510;50.2;0.7568627450980392;19
2000;Glattal;Sekundarstufe B;416;41;0.48317307692307687;20
2000;Glattal;Sekundarstufe C;89;8.8;0.2359550561797753;10
2000;Letzi;Sekundarstufe A;387;51.1;0.6950904392764858;18
2000;Letzi;Sekundarstufe B;331;43.7;0.41993957703927487;19
2000;Letzi;Sekundarstufe C;40;5.3;0.050000000000000044;11
2000;Limmattal;Sekundarstufe A;334;40.6;0.31137724550898205;18
2000;Limmattal;Sekundarstufe B;411;50;0.13868613138686137;17
2000;Limmattal;Sekundarstufe C;77;9.4;0.06493506493506496;11
2000;Schwamendingen;Sekundarstufe A;253;40.7;0.7747035573122529;18
2000;Schwamendingen;Sekundarstufe B;319;51.3;0.54858934169279;18
2000;Schwamendingen;Sekundarstufe C;50;8;0.21999999999999997;10
2000;Uto;Sekundarstufe A;450;53.3;0.7933333333333333;18
2000;Uto;Sekundarstufe B;328;38.8;0.4542682926829268;19
2000;Uto;Sekundarstufe C;67;7.9;0.22388059701492535;12
2000;Waidberg;Sekundarstufe A;442;60.1;0.7307692307692308;18
2000;Waidberg;Sekundarstufe B;256;34.8;0.3671875;18
2000;Waidberg;Sekundarstufe C;38;5.2;0.13157894736842102;13
2000;Zürichberg;Sekundarstufe A;393;79.7;0.8142493638676844;19
2000;Zürichberg;Sekundarstufe B;86;17.4;0.5;18
2000;Zürichberg;Sekundarstufe C;14;2.8;0.0714285714285714;11
2001;Glattal;Sekundarstufe A;488;47.7;0.6864754098360656;19
2001;Glattal;Sekundarstufe B;420;41.1;0.42619047619047623;19
2001;Glattal;Sekundarstufe C;114;11.2;0.19298245614035092;11
2001;Letzi;Sekundarstufe A;398;49.9;0.6582914572864322;18
2001;Letzi;Sekundarstufe B;351;44;0.4045584045584045;20
2001;Letzi;Sekundarstufe C;48;6;0.125;12
2001;Limmattal;Sekundarstufe A;329;40.6;0.3191489361702128;18
2001;Limmattal;Sekundarstufe B;443;54.6;0.12415349887133187;16
2001;Limmattal;Sekundarstufe C;39;4.8;0.07692307692307687;10
2001;Schwamendingen;Sekundarstufe A;279;43.7;0.7240143369175627;19
2001;Schwamendingen;Sekundarstufe B;298;46.6;0.4899328859060402;18
2001;Schwamendingen;Sekundarstufe C;62;9.7;0.27419354838709675;11
2001;Uto;Sekundarstufe A;450;53.6;0.74;19
2001;Uto;Sekundarstufe B;325;38.7;0.4553846153846154;18
2001;Uto;Sekundarstufe C;65;7.7;0.19999999999999996;13
2001;Waidberg;Sekundarstufe A;417;60;0.7074340527577938;18
2001;Waidberg;Sekundarstufe B;245;35.3;0.4285714285714286;18
2001;Waidberg;Sekundarstufe C;33;4.7;0.18181818181818177;10
2001;Zürichberg;Sekundarstufe A;389;83.5;0.7352185089974292;19
2001;Zürichberg;Sekundarstufe B;70;15;0.5285714285714286;16
2001;Zürichberg;Sekundarstufe C;7;1.5;0;4
2002;Glattal;Sekundarstufe A;537;49.8;0.6852886405959031;19
2002;Glattal;Sekundarstufe B;435;40.3;0.3931034482758621;18
2002;Glattal;Sekundarstufe C;107;9.9;0.20560747663551404;10
2002;Letzi;Sekundarstufe A;374;47.9;0.6363636363636364;19
2002;Letzi;Sekundarstufe B;341;43.7;0.4369501466275659;19
2002;Letzi;Sekundarstufe C;66;8.5;0.10606060606060608;11
2002;Limmattal;Sekundarstufe A;343;42.9;0.3294460641399417;18
2002;Limmattal;Sekundarstufe B;456;57.1;0.13596491228070173;15
2002;Schwamendingen;Sekundarstufe A;281;43.5;0.697508896797153;19
2002;Schwamendingen;Sekundarstufe B;310;48;0.5064516129032258;18
2002;Schwamendingen;Sekundarstufe C;55;8.5;0.2909090909090909;9
2002;Uto;Sekundarstufe A;441;50.9;0.7006802721088435;19
2002;Uto;Sekundarstufe B;345;39.8;0.4695652173913043;19
2002;Uto;Sekundarstufe C;80;9.2;0.23750000000000004;14
2002;Waidberg;Sekundarstufe A;442;60.1;0.7126696832579186;19
2002;Waidberg;Sekundarstufe B;262;35.6;0.44656488549618323;19
2002;Waidberg;Sekundarstufe C;31;4.2;0.09677419354838712;9
2002;Zürichberg;Sekundarstufe A;376;79;0.7553191489361702;18
2002;Zürichberg;Sekundarstufe B;91;19.1;0.48351648351648346;16
2002;Zürichberg;Sekundarstufe C;9;1.9;0.11111111111111116;3
2003;Glattal;Sekundarstufe A;548;47.9;0.6496350364963503;18
2003;Glattal;Sekundarstufe B;474;41.4;0.40506329113924056;18
2003;Glattal;Sekundarstufe C;122;10.7;0.23770491803278693;10
2003;Letzi;Sekundarstufe A;355;46.2;0.619718309859155;19
2003;Letzi;Sekundarstufe B;354;46.1;0.40960451977401124;20
2003;Letzi;Sekundarstufe C;59;7.7;0.13559322033898302;13
2003;Limmattal;Sekundarstufe A;319;41.9;0.2946708463949843;18
2003;Limmattal;Sekundarstufe B;442;58.1;0.14932126696832582;15
2003;Schwamendingen;Sekundarstufe A;295;43;0.6440677966101696;20
2003;Schwamendingen;Sekundarstufe B;319;46.5;0.445141065830721;19
2003;Schwamendingen;Sekundarstufe C;72;10.5;0.23611111111111116;12
2003;Uto;Sekundarstufe A;448;51.8;0.7120535714285714;19
2003;Uto;Sekundarstufe B;317;36.6;0.4542586750788643;19
