Jahr;Schulgemeinde;country_g;per_g;SG;rank
2000;Glattal;Andere;0.09824704443538525;Glattal;292
2000;Glattal;Asien;0.037912759885854054;Glattal;508
2000;Glattal;Bosnien-Herzegowina;0.02242152466367713;Glattal;768
2000;Glattal;Italien;0.06013045250713412;Glattal;377
2000;Glattal;Kroatien;0.022013860578883;Glattal;787
2000;Glattal;Portugal;0.027721157766000815;Glattal;652
2000;Glattal;Schweiz;0.556461475743987;Glattal;110
2000;Glattal;Serbien;0.13452914798206278;Glattal;214
2000;Glattal;Türkei;0.0405625764370159;Glattal;480
2000;Letzi;Afrika;0.02043132803632236;Letzi;837
2000;Letzi;Andere;0.062145289443813846;Letzi;365
2000;Letzi;Asien;0.031498297389330306;Letzi;582
2000;Letzi;Italien;0.079738933030647;Letzi;319
2000;Letzi;Kroatien;0.03064699205448354;Letzi;598
2000;Letzi;Nordmazedonien;0.03036322360953462;Letzi;606
2000;Letzi;Portugal;0.03887627695800227;Letzi;498
2000;Letzi;Schweiz;0.514472190692395;Letzi;124
2000;Letzi;Serbien;0.11407491486946651;Letzi;260
2000;Letzi;Spanien;0.03376844494892168;Letzi;555
2000;Letzi;Türkei;0.04398410896708286;Letzi;455
2000;Limmattal;Afrika;0.02557755775577558;Limmattal;702
2000;Limmattal;Andere;0.021727172717271728;Limmattal;801
2000;Limmattal;Asien;0.09790979097909791;Limmattal;295
2000;Limmattal;Bosnien-Herzegowina;0.02557755775577558;Limmattal;702
2000;Limmattal;Italien;0.07288228822882288;Limmattal;331
2000;Limmattal;Kroatien;0.030803080308030802;Limmattal;592
2000;Limmattal;Mittel- und Südamerika;0.02667766776677668;Limmattal;678
2000;Limmattal;Nordmazedonien;0.06133113311331133;Limmattal;370
2000;Limmattal;Portugal;0.06985698569856985;Limmattal;339
2000;Limmattal;Schweiz;0.21864686468646866;Limmattal;134
2000;Limmattal;Serbien;0.22084708470847084;Limmattal;133
2000;Limmattal;Spanien;0.047304730473047306;Limmattal;437
2000;Limmattal;Türkei;0.08085808580858085;Limmattal;317
2000;Schwamendingen;Andere;0.09956273124789775;Schwamendingen;287
2000;Schwamendingen;Asien;0.029599730911537166;Schwamendingen;616
2000;Schwamendingen;Italien;0.07366296670030273;Schwamendingen;330
2000;Schwamendingen;Nordmazedonien;0.02186343760511268;Schwamendingen;791
2000;Schwamendingen;Portugal;0.03498150016818029;Schwamendingen;540
2000;Schwamendingen;Schweiz;0.5425496131853347;Schwamendingen;117
2000;Schwamendingen;Serbien;0.12008072653884964;Schwamendingen;245
2000;Schwamendingen;Spanien;0.022872519340733265;Schwamendingen;759
2000;Schwamendingen;Türkei;0.0548267743020518;Schwamendingen;404
2000;Uto;Andere;0.0893991206643869;Uto;306
2000;Uto;Asien;0.052515876893014166;Uto;419
2000;Uto;Italien;0.041768441621885685;Uto;474
2000;Uto;Kroatien;0.02051783097215437;Uto;836
2000;Uto;Portugal;0.03663898387884709;Uto;524
2000;Uto;Schweiz;0.6160234489496824;Uto;96
2000;Uto;Serbien;0.08720078163165608;Uto;307
2000;Uto;Spanien;0.020273571079628724;Uto;840
2000;Uto;Türkei;0.0356619443087445;Uto;532
2000;Waidberg;Andere;0.11835072537541359;Waidberg;249
2000;Waidberg;Asien;0.033850852634258084;Waidberg;554
2000;Waidberg;Italien;0.04326800712649529;Waidberg;463
2000;Waidberg;Portugal;0.024688215831000254;Waidberg;719
2000;Waidberg;Schweiz;0.6655637566810894;Waidberg;74
2000;Waidberg;Serbien;0.059811656910155254;Waidberg;382
2000;Waidberg;Spanien;0.020361415118350726;Waidberg;838
2000;Waidberg;Türkei;0.03410537032323747;Waidberg;550
2000;Zürichberg;Andere;0.14763711624698173;Zürichberg;194
2000;Zürichberg;Schweiz;0.8126940324249742;Zürichberg;15
2000;Zürichberg;Serbien;0.03966885132804415;Zürichberg;489
2001;Glattal;Andere;0.13519621943702487;Glattal;213
2001;Glattal;Bosnien-Herzegowina;0.025477707006369428;Glattal;705
2001;Glattal;Italien;0.055064721594411344;Glattal;398
2001;Glattal;Nordmazedonien;0.022190260941031437;Glattal;778
2001;Glattal;Portugal;0.031436202999794535;Glattal;584
2001;Glattal;Schweiz;0.5711937538524758;Glattal;104
2001;Glattal;Serbien;0.12225190055475653;Glattal;243
2001;Glattal;Türkei;0.037189233614136015;Glattal;517
2001;Letzi;Andere;0.11045197740112994;Letzi;264
2001;Letzi;Italien;0.06468926553672316;Letzi;353
2001;Letzi;Kroatien;0.030225988700564973;Letzi;609
2001;Letzi;Nordmazedonien;0.030225988700564973;Letzi;609
2001;Letzi;Portugal;0.04067796610169491;Letzi;478
2001;Letzi;Schweiz;0.5409604519774012;Letzi;118
2001;Letzi;Serbien;0.10903954802259887;Letzi;268
2001;Letzi;Spanien;0.030508474576271188;Letzi;603
2001;Letzi;Türkei;0.043220338983050846;Letzi;464
2001;Limmattal;Andere;0.09879652952700811;Limmattal;289
2001;Limmattal;Bosnien-Herzegowina;0.03246571508536244;Limmattal;567
2001;Limmattal;Italien;0.0626924153372516;Limmattal;363
2001;Limmattal;Kroatien;0.027987685418415897;Limmattal;644
2001;Limmattal;Nordmazedonien;0.06605093758746151;Limmattal;349
2001;Limmattal;Portugal;0.0654911838790932;Limmattal;351
2001;Limmattal;Schweiz;0.2594458438287154;Limmattal;132
2001;Limmattal;Serbien;0.20151133501259447;Limmattal;143
2001;Limmattal;Spanien;0.042541281835992165;Limmattal;467
2001;Limmattal;Sri Lanka;0.07948502658830114;Limmattal;320
2001;Limmattal;Türkei;0.06353204589980409;Limmattal;359
2001;Schwamendingen;Andere;0.11665565102445473;Schwamendingen;255
2001;Schwamendingen;Bosnien-Herzegowina;0.021150033046926635;Schwamendingen;824
2001;Schwamendingen;Italien;0.07038995373430271;Schwamendingen;337
2001;Schwamendingen;Nordmazedonien;0.024454725710508923;Schwamendingen;724
2001;Schwamendingen;Portugal;0.0356906807666887;Schwamendingen;531
2001;Schwamendingen;Schweiz;0.5446133509583608;Schwamendingen;114
2001;Schwamendingen;Serbien;0.11996034368803701;Schwamendingen;247
2001;Schwamendingen;Spanien;0.021480502313284865;Schwamendingen;807
2001;Schwamendingen;Türkei;0.04560475875743556;Schwamendingen;445
2001;Uto;Andere;0.12469377756001959;Uto;237
2001;Uto;Italien;0.03944145026947575;Uto;492
2001;Uto;Kroatien;0.021313081822635964;Uto;813
2001;Uto;Portugal;0.036256736893679566;Uto;528
2001;Uto;Schweiz;0.6256736893679569;Uto;91
2001;Uto;Serbien;0.08329250367466928;Uto;315
2001;Uto;Sri Lanka;0.036256736893679566;Uto;528
2001;Uto;Türkei;0.03307202351788339;Uto;561
2001;Waidberg;Andere;0.16088730239673638;Waidberg;184
2001;Waidberg;Italien;0.042070372259051504;Waidberg;472
2001;Waidberg;Portugal;0.023202447730749618;Waidberg;747
2001;Waidberg;Schweiz;0.690464048954615;Waidberg;61
2001;Waidberg;Serbien;0.05532891381947986;Waidberg;397
2001;Waidberg;Türkei;0.02804691483936767;Waidberg;640
2001;Zürichberg;Andere;0.1295784381478922;Zürichberg;223
2001;Zürichberg;Portugal;0.022460262612301312;Zürichberg;766
2001;Zürichberg;Schweiz;0.8113337940566689;Zürichberg;16
2001;Zürichberg;Serbien;0.036627505183137524;Zürichberg;525
2002;Glattal;Andere;0.12538667766549805;Glattal;234
2002;Glattal;Bosnien-Herzegowina;0.02536605485667148;Glattal;709
2002;Glattal;Italien;0.05382553103732728;Glattal;410
2002;Glattal;Nordmazedonien;0.02227263353268715;Glattal;774
2002;Glattal;Portugal;0.03258403794596824;Glattal;566
2002;Glattal;Schweiz;0.5673334708187255;Glattal;105
2002;Glattal;Serbien;0.11569395751701382;Glattal;259
2002;Glattal;Sri Lanka;0.021241493091359042;Glattal;822
2002;Glattal;Türkei;0.036296143534749435;Glattal;526
2002;Letzi;Andere;0.09608843537414966;Letzi;296
2002;Letzi;Bosnien-Herzegowina;0.020691609977324263;Letzi;832
2002;Letzi;Italien;0.061507936507936505;Letzi;369
2002;Letzi;Kroatien;0.027210884353741496;Letzi;661
2002;Letzi;Nordmazedonien;0.027777777777777776;Letzi;651
2002;Letzi;Portugal;0.048752834467120185;Letzi;429
2002;Letzi;Schweiz;0.5430839002267573;Letzi;116
2002;Letzi;Serbien;0.1082766439909297;Letzi;269
2002;Letzi;Spanien;0.02891156462585034;Letzi;627
2002;Letzi;Türkei;0.037698412698412696;Letzi;512
2002;Limmattal;Andere;0.1015112631879099;Limmattal;282
2002;Limmattal;Bosnien-Herzegowina;0.026803535785571715;Limmattal;675
2002;Limmattal;Italien;0.05503279155973767;Limmattal;399
2002;Limmattal;Kroatien;0.025377815796977475;Limmattal;708
2002;Limmattal;Nordmazedonien;0.05902480752780154;Limmattal;385
2002;Limmattal;Portugal;0.06786427145708583;Limmattal;347
2002;Limmattal;Schweiz;0.2754491017964072;Limmattal;131
2002;Limmattal;Serbien;0.20102651839178784;Limmattal;144
