Jahr;Schulgemeinde;Land;country_n;per_n;rank;diff_c
2000;Glattal;Afrika;58;0.011822258459029759;896;26
2000;Glattal;Asien;186;0.037912759885854054;312;26
2000;Glattal;Australien;1;2.0383204239706482e-4;7272;26
2000;Glattal;Bosnien-Herzegowina;110;0.02242152466367713;488;26
2000;Glattal;Bulgarien;1;2.0383204239706482e-4;7272;26
2000;Glattal;Deutschland;41;0.008357113738279657;1112;26
2000;Glattal;Dominikanische Republik;1;2.0383204239706482e-4;7272;26
2000;Glattal;Frankreich;2;4.0766408479412964e-4;5887;26
2000;Glattal;Griechenland;24;0.004891969017529555;1503;26
2000;Glattal;Italien;295;0.06013045250713412;180;26
2000;Glattal;Korea (Süd-);1;2.0383204239706482e-4;7272;26
2000;Glattal;Kroatien;108;0.022013860578883;496;26
2000;Glattal;Liechtenstein;1;2.0383204239706482e-4;7272;26
2000;Glattal;Mittel- und Südamerika;77;0.01569506726457399;696;26
2000;Glattal;Nord-/Westeuropa;13;0.0026498165511618424;2166;26
2000;Glattal;Nordamerika;2;4.0766408479412964e-4;5887;26
2000;Glattal;Nordmazedonien;97;0.019771708112515288;557;26
2000;Glattal;Österreich;12;0.0024459845087647777;2274;26
2000;Glattal;Polen;1;2.0383204239706482e-4;7272;26
2000;Glattal;Portugal;136;0.027721157766000815;410;26
2000;Glattal;Schweiz;2730;0.556461475743987;57;26
2000;Glattal;Serbien;660;0.13452914798206278;138;26
2000;Glattal;Slowenien;5;0.0010191602119853241;3919;26
2000;Glattal;Spanien;83;0.01691805951895638;652;26
2000;Glattal;Süd-/Osteuropa;62;0.012637586628618018;860;26
2000;Glattal;Türkei;199;0.0405625764370159;283;26
2000;Letzi;Afrika;72;0.02043132803632236;746;23
2000;Letzi;Asien;111;0.031498297389330306;486;23
2000;Letzi;Australien;1;2.8376844494892167e-4;7272;23
2000;Letzi;Bosnien-Herzegowina;68;0.019296254256526674;790;23
2000;Letzi;Deutschland;15;0.004256526674233825;1955;23
2000;Letzi;Frankreich;4;0.0011350737797956867;4399;23
2000;Letzi;Griechenland;23;0.0065266742338251985;1532;23
2000;Letzi;Italien;281;0.079738933030647;190;23
2000;Letzi;Kroatien;108;0.03064699205448354;496;23
2000;Letzi;Liechtenstein;1;2.8376844494892167e-4;7272;23
2000;Letzi;Mittel- und Südamerika;50;0.014188422247446084;977;23
2000;Letzi;Nord-/Westeuropa;13;0.0036889897843359817;2166;23
2000;Letzi;Nordamerika;4;0.0011350737797956867;4399;23
2000;Letzi;Nordmazedonien;107;0.03036322360953462;508;23
2000;Letzi;Österreich;5;0.0014188422247446084;3919;23
2000;Letzi;Portugal;137;0.03887627695800227;407;23
2000;Letzi;Schweiz;1813;0.514472190692395;113;23
2000;Letzi;Serbien;402;0.11407491486946651;151;23
2000;Letzi;Slowenien;3;8.51305334846765e-4;5028;23
2000;Letzi;Spanien;119;0.03376844494892168;457;23
2000;Letzi;Staat unbekannt;3;8.51305334846765e-4;5028;23
2000;Letzi;Süd-/Osteuropa;29;0.008229284903518728;1351;23
2000;Letzi;Türkei;155;0.04398410896708286;366;23
2000;Limmattal;Afrika;93;0.02557755775577558;579;22
2000;Limmattal;Asien;356;0.09790979097909791;162;22
2000;Limmattal;Bosnien-Herzegowina;93;0.02557755775577558;579;22
2000;Limmattal;Deutschland;15;0.004125412541254125;1955;22
2000;Limmattal;Frankreich;2;5.5005500550055e-4;5887;22
2000;Limmattal;Griechenland;10;0.0027502750275027505;2565;22
2000;Limmattal;Italien;265;0.07288228822882288;201;22
2000;Limmattal;Kroatien;112;0.030803080308030802;482;22
2000;Limmattal;Liechtenstein;1;2.75027502750275e-4;7272;22
2000;Limmattal;Mittel- und Südamerika;97;0.02667766776677668;557;22
2000;Limmattal;Nord-/Westeuropa;5;0.0013751375137513752;3919;22
2000;Limmattal;Nordamerika;5;0.0013751375137513752;3919;22
2000;Limmattal;Nordmazedonien;223;0.06133113311331133;245;22
2000;Limmattal;Österreich;9;0.0024752475247524753;2733;22
2000;Limmattal;Portugal;254;0.06985698569856985;210;22
2000;Limmattal;Schweiz;795;0.21864686468646866;134;22
2000;Limmattal;Serbien;803;0.22084708470847084;133;22
2000;Limmattal;Slowenien;1;2.75027502750275e-4;7272;22
2000;Limmattal;Spanien;172;0.047304730473047306;340;22
2000;Limmattal;Staat unbekannt;4;0.0011001100110011;4399;22
2000;Limmattal;Süd-/Osteuropa;27;0.007425742574257425;1412;22
2000;Limmattal;Türkei;294;0.08085808580858085;182;22
2000;Schwamendingen;Afrika;53;0.01782711066263034;948;22
2000;Schwamendingen;Asien;88;0.029599730911537166;619;22
2000;Schwamendingen;Bosnien-Herzegowina;52;0.017490750084090144;963;22
2000;Schwamendingen;Deutschland;15;0.005045408678102927;1955;22
2000;Schwamendingen;Frankreich;2;6.727211570803902e-4;5887;22
2000;Schwamendingen;Griechenland;30;0.010090817356205853;1330;22
2000;Schwamendingen;Italien;219;0.07366296670030273;250;22
2000;Schwamendingen;Kroatien;48;0.016145307769929364;1009;22
2000;Schwamendingen;Liechtenstein;1;3.363605785401951e-4;7272;22
2000;Schwamendingen;Mittel- und Südamerika;46;0.015472586612848975;1035;22
2000;Schwamendingen;Nord-/Westeuropa;10;0.003363605785401951;2565;22
2000;Schwamendingen;Nordamerika;1;3.363605785401951e-4;7272;22
2000;Schwamendingen;Nordmazedonien;65;0.02186343760511268;827;22
2000;Schwamendingen;Österreich;3;0.0010090817356205853;5028;22
2000;Schwamendingen;Portugal;104;0.03498150016818029;522;22
2000;Schwamendingen;Schweiz;1613;0.5425496131853347;123;22
2000;Schwamendingen;Serbien;357;0.12008072653884964;160;22
2000;Schwamendingen;Slowenien;1;3.363605785401951e-4;7272;22
2000;Schwamendingen;Spanien;68;0.022872519340733265;790;22
2000;Schwamendingen;Staat unbekannt;3;0.0010090817356205853;5028;22
2000;Schwamendingen;Süd-/Osteuropa;31;0.010427177934746047;1308;22
2000;Schwamendingen;Türkei;163;0.0548267743020518;351;22
2000;Uto;Afrika;58;0.014167073766487542;896;21
